order_id,product_id,add_to_cart_order,reordered
1,90009,1,0
2,90060,1,0
3,90207,1,0
4,90260,1,0
5,90327,1,0
6,90535,1,0
7,90064,1,0
8,90110,1,0
9,90283,1,0
10,90294,1,0
11,90319,1,0
12,90485,1,0
13,90523,1,0
14,90001,1,0
15,90246,1,0
16,90258,1,0
17,90285,1,0
18,90438,1,0
19,90054,1,0
20,90113,1,0
21,90114,1,0
22,90135,1,0
23,90189,1,0
24,90260,1,0
25,90285,1,0
26,90487,1,0
27,90524,1,0
28,90553,1,0
29,90035,1,0
30,90055,1,0
31,90128,1,0
32,90177,1,0
33,90190,1,0
34,90219,1,0
35,90247,1,0
36,90250,1,0
37,90312,1,0
38,90318,1,0
39,90329,1,0
40,90414,1,0
41,90418,1,0
42,90448,1,0
43,90507,1,0
44,90187,1,0
45,90200,1,0
46,90323,1,0
47,90344,1,0
48,90543,1,0
49,90175,1,0
50,90219,1,0
51,90380,1,0
52,90025,1,0
53,90120,1,0
54,90175,1,0
55,90182,1,0
56,90247,1,0
57,90336,1,0
58,90368,1,0
59,90446,1,0
60,90517,1,0
61,90528,1,0
62,90117,1,0
63,90168,1,0
64,90173,1,0
65,90290,1,0
66,90319,1,0
67,90547,1,0
68,90563,1,0
69,90001,1,0
70,90023,1,0
71,90027,1,0
72,90134,1,0
73,90212,1,0
74,90269,1,0
75,90308,1,0
76,90359,1,0
77,90414,1,0
78,90523,1,0
79,90556,1,0
80,90173,1,0
81,90358,1,0
82,90406,1,0
83,90524,1,0
84,90534,1,0
85,90543,1,0
86,90554,1,0
87,90092,1,0
88,90101,1,0
89,90186,1,0
90,90187,1,0
91,90256,1,0
92,90417,1,0
93,90454,1,0
94,90563,1,0
95,90082,1,0
96,90213,1,0
97,90225,1,0
98,90240,1,0
99,90290,1,0
100,90308,1,0
101,90450,1,0
102,90001,1,0
103,90331,1,0
104,90403,1,0
105,90027,1,0
106,90054,1,0
107,90192,1,0
108,90248,1,0
109,90254,1,0
110,90318,1,0
111,90377,1,0
112,90461,1,0
113,90011,1,0
114,90031,1,0
115,90156,1,0
116,90157,1,0
117,90260,1,0
118,90339,1,0
119,90358,1,0
120,90371,1,0
121,90389,1,0
122,90457,1,0
123,90470,1,0
124,90495,1,0
125,90516,1,0
126,90042,1,0
127,90113,1,0
128,90139,1,0
129,90215,1,0
130,90241,1,0
131,90266,1,0
132,90277,1,0
133,90395,1,0
134,90479,1,0
135,90096,1,0
136,90111,1,0
137,90216,1,0
138,90226,1,0
139,90366,1,0
140,90454,1,0
141,90517,1,0
142,90021,1,0
143,90192,1,0
144,90411,1,0
145,90470,1,0
146,90532,1,0
147,90097,1,0
148,90135,1,0
149,90143,1,0
150,90177,1,0
151,90215,1,0
152,90261,1,0
153,90269,1,0
154,90343,1,0
155,90409,1,0
156,90511,1,0
157,90552,1,0
158,90558,1,0
159,90002,1,0
160,90139,1,0
161,90143,1,0
162,90426,1,0
163,90532,1,0
164,90168,1,0
165,90345,1,0
166,90356,1,0
167,90359,1,0
168,90078,1,0
169,90085,1,0
170,90113,1,0
171,90174,1,0
172,90215,1,0
173,90244,1,0
174,90275,1,0
175,90284,1,0
176,90390,1,0
177,90395,1,0
178,90457,1,0
179,90028,1,0
180,90172,1,0
181,90369,1,0
182,90020,1,0
183,90032,1,0
184,90053,1,0
185,90096,1,0
186,90139,1,0
187,90162,1,0
188,90290,1,0
189,90314,1,0
190,90357,1,0
191,90386,1,0
192,90432,1,0
193,90021,1,0
194,90159,1,0
195,90299,1,0
